state1,state4,state2,state3
383275.0,384540.0,384000.0,363250.0
382750.0,382360.0,383870.0,368000.0
384170.0,386210.0,388500.0,371265.0
386165.0,390560.0,386050.0,357780.0
386530.0,387075.0,387580.0,367980.0
385020.0,382345.0,384620.0,372870.0
385600.0,388130.0,387245.0,357340.0
387020.0,386540.0,388465.0,366255.0
388530.0,388640.0,387330.0,
389550.0,384060.0,385590.0,
386130.0,386450.0,388240.0,
385760.0,387975.0,389030.0,
385865.0,386330.0,388600.0,
385310.0,387260.0,389580.0,
386180.0,388040.0,387880.0,
386180.0,387975.0,390960.0,
383420.0,375055.0,389530.0,
382910.0,376730.0,375730.0,
383460.0,374615.0,375875.0,
384700.0,375560.0,375280.0,
386685.0,377385.0,376910.0,
384350.0,376320.0,377260.0,
384090.0,374455.0,376595.0,
382655.0,374090.0,378985.0,
385560.0,372505.0,375780.0,
384770.0,377340.0,374380.0,
381600.0,374040.0,376950.0,
376360.0,380050.0,377240.0,
375350.0,374650.0,377750.0,
375020.0,,374610.0,
372745.0,,378305.0,
373960.0,,,
375535.0,,,
375630.0,,,
375855.0,,,
374070.0,,,
376660.0,,,
376740.0,,,
376820.0,,,
372240.0,,,
372360.0,,,
372450.0,,,
378755.0,,,
375480.0,,,
376040.0,,,
374240.0,,,
382225.0,,,
374090.0,,,
374335.0,,,
376560.0,,,
378110.0,,,
373630.0,,,
372155.0,,,
392715.0,,,
